,y_test,xgb_y_pred,y_test
803,7.6,8.418781281,7.6
804,4,4.00877142,4
805,38,37.31800079,38
806,16.5,14.48556805,16.5
807,23,23.05335236,23
808,21,21.14090347,21
809,15.6,14.20690632,15.6
810,9.98,11.38554573,9.98
811,6.4,7.489648342,6.4
812,15.5,15.47476768,15.5
813,12,12.17952538,12
814,9,9.897732735,9
815,3.98,3.62539196,3.98
816,17,17.20732307,17
817,20,20.02449989,20
818,10,9.909657478,10
819,17.5,18.20919228,17.5
820,20.6,22.08886147,20.6
821,11.5,12.57397461,11.5
822,14,14.1148243,14
823,9,8.143313408,9
824,28.5,24.64634514,28.5
825,13,11.89771748,13
826,22,20.51026917,22
827,10.3,11.43959904,10.3
828,18.5,19.89543533,18.5
829,17.8,14.36380482,17.8
830,3,2.993810654,3
831,3.98,5.43615818,3.98
832,14.8,18.09145927,14.8
833,7.6,6.320020199,7.6
834,24,24.34461212,24
835,10,9.838438034,10
836,7.88,7.634534836,7.88
837,4.9,5.657765388,4.9
838,28,21.44248199,28
839,25.8,25.30348778,25.8
840,8,7.980745316,8
841,33.5,33.47457123,33.5
842,20,19.22847176,20
843,17.28,17.06329346,17.28
844,8.8,7.947688103,8.8
845,27,23.99516296,27
846,35.5,27.78290367,35.5
847,9.7,8.233140945,9.7
848,7.98,7.393362522,7.98
849,15.9,17.53235054,15.9
850,14.98,17.18784142,14.98
851,26,25.96719551,26
852,21,21.40746307,21
853,10,10.04032135,10
854,16,18.96320152,16
855,16,17.77433777,16
856,18,17.89501381,18
857,20.8,25.00844383,20.8
858,5.5,10.45042133,5.5
859,32.5,32.44610977,32.5
860,6.98,7.609734535,6.98
861,1.68,2.011441231,1.68
862,22,20.66201401,22
863,9,7.205768585,9
864,5.6,8.696846008,5.6
865,21,20.81262016,21
866,17,13.8321228,17
867,6.88,6.720493793,6.88
868,26.5,25.78979301,26.5
869,17.58,16.17141724,17.58
870,12,11.88858509,12
871,7,8.546486855,7
872,27.98,32.64805603,27.98
