,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
22300,14.3,日产,21.63,2.15,41,武汉,0,0,1,0,30,1,1,1,0,3,0
22301,14.3,沃尔沃,43.08,6.46,79,青岛,0,0,1,0,30,1,0,1,0,1,7
22302,14.5,本田,18.75,3.98,44,西安,0,0,1,1,30,1,1,0,0,3,1
22303,14.0,宝马,29.82,9.15,70,北京,0,0,1,0,30,0,0,1,0,3,1
22304,15.0,奥迪,22.91,1.48,15,青岛,0,0,1,0,30,1,0,1,0,3,0
22305,14.98,福特,36.88,10.36,65,成都,0,0,1,0,30,1,1,1,0,3,2
22306,15.0,本田,19.79,2.05,43,武汉,0,0,1,0,30,0,0,1,0,3,1
22307,15.0,奥迪,48.48,10.03,102,大同,0,1,1,5,30,1,0,0,0,3,5
22308,14.3,奥迪,27.7,8.15,41,杭州,0,0,1,0,30,1,0,1,0,3,0
22309,14.5,广汽埃安,17.06,1.73,72,广州,0,0,1,0,30,1,1,1,1,3,0
22310,14.2,奥迪,52.74,12.44,84,深圳,0,0,1,1,30,1,0,0,0,3,0
22311,14.0,奥迪,46.41,23.01,104,北京,0,1,1,0,30,1,0,1,0,1,9
22312,14.5,MINI,26.59,6.6,75,成都,0,0,1,0,30,1,1,1,0,3,2
22313,14.9,本田,28.2,9.07,57,北京,0,0,1,0,30,1,1,1,0,3,1
22314,14.6,宝马,33.56,8.4,81,青岛,0,0,1,0,30,1,0,1,0,3,2
22315,14.0,三菱,18.76,4.89,32,北京,0,0,1,0,30,1,0,1,0,3,0
22316,15.0,别克,24.95,7.99,53,成都,0,0,1,2,30,1,1,0,0,3,0
22317,14.0,丰田,32.43,13.71,107,广州,0,1,1,0,30,1,0,1,0,3,0
22318,14.98,宝马,49.24,14.81,105,广州,0,1,1,1,30,1,0,0,0,3,2
22319,15.0,宝马,121.68,23.12,147,合肥,0,1,1,0,60,1,0,1,0,3,4
22320,14.8,宝马,53.69,10.28,125,北京,0,1,1,1,1,1,1,0,0,3,0
22321,15.0,别克,29.29,2.98,59,南京,0,0,1,1,30,0,0,0,0,3,0
22322,14.0,讴歌,29.18,8.75,55,大同,0,0,1,0,30,1,0,1,0,1,8
22323,15.0,路虎,68.17,8.55,94,深圳,0,1,1,0,30,1,1,1,0,3,0
22324,14.5,三菱,31.35,4.57,95,北京,0,1,1,0,1,1,0,1,0,3,0
22325,14.8,宝马,29.82,5.62,71,北京,0,0,1,0,1,1,0,1,0,3,0
22326,14.48,奔驰,28.13,6.41,62,大连,0,0,1,0,30,0,0,1,0,1,11
22327,14.28,奥迪,33.95,8.54,81,石家庄,0,0,1,1,30,1,0,0,0,1,7
22328,14.0,大众,25.5,6.78,58,成都,0,0,1,0,30,1,1,1,0,3,0
22329,15.0,宝马,23.34,3.46,34,宁波,0,0,1,0,30,0,0,1,0,3,0
22330,14.0,丰田,17.24,3.28,22,沈阳,0,0,1,0,30,0,0,1,0,3,0
22331,14.3,别克,24.95,7.82,59,昆明,0,1,1,0,1,1,0,1,0,1,6
22332,14.38,大众,27.13,5.38,48,天津,0,0,1,0,1,1,0,1,0,2,2
22333,15.0,丰田,28.09,21.42,83,湛江,0,0,1,2,30,1,0,0,0,3,3
22334,14.88,大众,22.77,3.79,26,贵阳,0,0,1,4,1,0,0,0,0,3,0
22335,15.0,大众,23.87,2.05,53,青岛,0,0,1,0,1,1,0,1,0,3,3
22336,14.38,宝马,43.96,8.87,111,北京,0,1,1,1,1,1,1,0,0,3,0
22337,14.98,英菲尼迪,33.63,4.97,63,廊坊,0,0,1,0,1,1,1,1,0,3,0
22338,14.98,奥迪,20.35,1.83,23,惠州,0,0,1,0,1,1,0,1,0,3,0
22339,14.5,大众,24.2,7.74,41,潍坊,0,0,1,0,30,0,0,1,0,2,5
22340,14.5,宝马,97.48,11.74,125,昆明,0,1,1,1,30,0,0,0,0,1,10
22341,14.8,凯迪拉克,54.06,4.91,93,北京,0,1,1,0,1,1,0,1,0,3,0
22342,14.28,宝马,110.5,23.2,143,成都,0,1,1,0,30,1,1,1,0,3,2
22343,14.92,宝马,41.14,7.7,83,西安,0,0,1,0,30,1,1,1,0,2,4
22344,14.58,大众,41.25,10.17,96,北京,0,1,1,1,1,1,0,0,0,3,2
22345,15.0,别克,31.47,22.11,67,潍坊,0,0,1,1,30,0,0,0,0,1,10
22346,14.48,奔驰,52.65,11.06,96,重庆,0,1,1,0,60,1,1,1,0,3,0
22347,15.0,红旗,21.69,4.13,23,青岛,0,0,1,0,30,0,0,1,0,3,4
22348,14.68,本田,18.75,1.82,17,东莞,0,0,1,0,30,1,0,1,0,3,0
22349,15.0,凯迪拉克,29.72,3.11,39,盐城,0,0,1,0,1,1,1,1,0,3,1
22350,14.0,哈弗,27.12,11.45,59,许昌,0,0,1,0,60,1,0,1,0,3,1
22351,15.0,路虎,50.8,12.34,80,郑州,0,0,1,0,30,1,0,1,0,3,0
22352,15.0,宝马,149.58,21.61,141,长沙,0,1,1,0,30,1,1,1,0,1,9
22353,14.6,日产,24.94,1.71,17,深圳,0,0,1,0,1,1,0,1,0,2,4
22354,15.0,红旗,23.21,1.79,27,深圳,0,0,1,0,1,1,0,1,0,3,0
22355,14.1,大众,29.18,12.02,59,成都,0,0,1,1,1,1,1,0,0,3,0
22356,14.2,三菱,21.14,2.23,25,保定,0,0,1,1,30,0,0,0,0,3,0
22357,14.95,奥迪,24.67,1.8,39,北京,0,0,1,0,1,0,0,1,0,3,3
22358,15.0,沃尔沃,37.0,11.59,66,北京,0,0,1,0,30,1,0,1,0,2,4
22359,14.0,奥迪,48.48,8.56,113,郑州,0,1,1,1,30,1,1,0,0,1,14
22360,14.98,宝马,110.5,14.3,147,成都,1,1,1,0,1,1,1,1,0,3,0
22361,14.88,MINI,26.59,9.87,88,佛山,0,0,1,1,1,1,0,0,0,3,1
22362,14.98,本田,19.06,2.13,17,青岛,0,0,1,0,1,1,0,1,0,3,0
22363,14.98,大众,23.76,4.42,35,成都,0,0,1,0,1,1,1,1,0,3,0
22364,14.5,丰田,20.28,2.83,36,北京,0,0,1,0,60,1,1,1,0,3,0
22365,14.28,奥迪,36.23,2.46,83,北京,0,0,1,0,1,1,1,1,0,3,1
22366,14.98,大众,32.11,10.64,65,北京,0,0,1,1,1,1,0,0,0,2,3
