,y_test,xgb_y_pred,y_test,,,,,,,,,,,
451,7.68,12.38209057,7.68,,,,,,,,,,,
452,3.5,2.422786236,3.5,,,,,,,,,,,
453,14,13.96845627,14,,,,,,,,,,,
454,4.2,3.259935379,4.2,,,,,,,,,,,
455,9.3,7.793351173,9.3,,,,,,,,,,,
456,26,25.58886337,26,,,,,,,,,,,
457,13.88,15.23416138,13.88,,,,,,,,,,,
458,6.9,7.152355194,6.9,,,,,,,,,,,
459,28,26.51890564,28,,,,,,,,,,,
460,18.5,17.19282913,18.5,,,,,,,,,,,
461,20,15.67757988,20,,,,,,,,,,,
462,5.6,4.999663353,5.6,,,,,,,,,,,
463,33.5,32.1156044,33.5,,,,,,,,,,,
464,15,15.01407433,15,,,,,,,,,,,
465,2.5,3.777393341,2.5,,,,,,,,,,,
466,34,31.96326447,34,,,,,,,,,,,
467,2.09,1.90955174,2.09,,,,,,,,,,,
468,20,20.02960205,20,,,,,,,,,,,
469,1.5,1.870814443,1.5,,,,,,,,,,,
470,2.08,3.530548096,2.08,,,,,,,,,,,
471,11.98,9.640979767,11.98,,,,,,,,,,,
472,2,2.242462397,2,,,,,,,,,,,
473,11,10.86735916,11,,,,,,,,,,,
474,21,21.14686394,21,,,,,,,,,,,
475,33.5,33.28230667,33.5,,,,,,,,,,,
476,2.6,2.856691599,2.6,,,,,,,,,,,
477,5.5,5.131296635,5.5,,,,,,,,,,,
478,23.37,21.14692116,23.37,,,,,,,,,,,
479,12,13.05886173,12,,,,,,,,,,,
480,36,36.572052,36,,,,,,,,,,,
481,6,5.927716732,6,,,,,,,,,,,
482,4.8,5.870202541,4.8,,,,,,,,,,,
483,3.68,4.220400333,3.68,,,,,,,,,,,
484,13.5,16.73561478,13.5,,,,,,,,,,,
485,36.66,33.53132629,36.66,,,,,,,,,,,
486,3,2.999458075,3,,,,,,,,,,,
487,16.5,18.83447838,16.5,,,,,,,,,,,
488,22,22.09308243,22,,,,,,,,,,,
489,8,6.993326187,8,,,,,,,,,,,
490,14.5,12.85575581,14.5,,,,,,,,,,,
491,10.98,8.335290909,10.98,,,,,,,,,,,
492,4.2,6.717952728,4.2,,,,,,,,,,,
493,21,21.05996895,21,,,,,,,,,,,
494,17,18.30747986,17,,,,,,,,,,,
495,27.7,21.22116852,27.7,,,,,,,,,,,
496,15.58,15.16423512,15.58,,,,,,,,,,,
497,3.68,4.252566814,3.68,,,,,,,,,,,
498,33,33.13352585,33,,,,,,,,,,,
499,7.38,8.417654037,7.38,,,,,,,,,,,
500,4.5,4.564886093,4.5,,,,,,,,,,,
